policyNumber,policyTitle,uriPolicyId,ombPolicyId,policyType,policyIssuanceYear,policySunset,reqId,issuingBody,policySection,policySubSection,reqText,verb,Impacted Entity,reqDeadline,citation,Acquisition/Contracts (Keywords),Human Capital (Keywords),Cloud (Keywords),Data Centers (Keywords),Cybersecurity (Keywords),Privacy (Keywords),Shared Services (Keywords),IT Project Management (Keywords),Software (Keywords),Digital Services (Keywords),Mobile (Keywords),Hardware/Government Furnished Equipment (GFE) (Keywords),"IT Transparency (Open Data, FOIA, Public Records, etc.) (Keywords)",Agency Statistics (Keywords),Customer Services (Keywords),Governance (Keywords),Financial Systems (Keywords),Budget (Keywords),Governance - Org Structure (Keywords),Governance - Implementation (Keywords),Data Management/Standards (Keywords),Definitions (Keywords),Reporting (Keywords),Other (Keywords)
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.11,"Office of the Federal Chief Information Officer, OMB",A. Apply “Light Technology” and Shared Solutions,4. Stand-up contract vehicles for secure IaaS solutions,"Within the next six months, after completing security certification, GSA will make a common set of contract vehicles for cloud-based Infrastructure-as-a-Service solutions available government-wide.",Will,GSA,6/8/2011,NA,x,,x,,,,x,,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.12,"Office of the Federal Chief Information Officer, OMB",A. Apply “Light Technology” and Shared Solutions,5. Stand-up contract vehicles for commodity services,"Within 12 months, GSA will utilize [the Software-as-a-Service (SaaS) E-mail Working Group] requirements to stand up government-wide contract vehicles for cloud-based email solutions. GSA will also begin a similar process specifically designed for other back-end, cloud-based solutions.",Will,GSA,12/10/2011,NA,x,,x,,,,x,,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.13,"Office of the Federal Chief Information Officer, OMB",A. Apply “Light Technology” and Shared Solutions,6. Develop a strategy for shared services,"Within the next 12 months, the Federal CIO will develop a strategy for shared services. That strategy will build on earlier Federal Government successes in shared services and include benchmarks on current usage and uptake rates, as well as service level agreements (SLAs), customer satisfaction levels, costs, and overall economic effectiveness.",Will,Federal CIO,12/10/2011,NA,,,,,,,x,,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.14,"Office of the Federal Chief Information Officer, OMB",A. Apply “Light Technology” and Shared Solutions,6. Develop a strategy for shared services,"Managing partners of shared services will assess the current state of shared services and each release a roadmap to improve quality and uptake. Ultimately, the managing partners will be responsible for executing these roadmaps and will be held accountable for improvements on SLAs and reductions in cost. These efforts will enable the current shared services to be accessible government-wide at higher quality levels.",Will,Other,NA,NA,x,,,,,,x,,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.15,"Office of the Federal Chief Information Officer, OMB",PART II: EFFECTIVELY MANAGING LARGE-SCALE IT PROGRAMS,NA,"Moving forward, Federal IT programs must be structured to deploy working business functionality in release cycles no longer than 12 months, and, ideally, less than six months, with initial deployment to end users no later than 18 months after the program begins.",Must,All CFO-Act Agencies,NA,NA,,,,,,,,,x,,,,,,,,,,,,,,,Software Development Lifecycle/Agile
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.16,"Office of the Federal Chief Information Officer, OMB",PART II: EFFECTIVELY MANAGING LARGE-SCALE IT PROGRAMS,NA,"Program managers need to define each phase of the IT development lifecycle and rigorously manage scope. These timelines should encompass the entire process -- from concept through requirement analysis, development, test, and delivery.",Need to; Should,All CFO-Act Agencies,NA,NA,,,,,,,,x,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.17,"Office of the Federal Chief Information Officer, OMB",B. Strengthen Program Management,7. Design a formal IT program management career path,"In the next six months, OPM, with input from agencies and OMB, will create a specialized career path for IT program managers (PMs). This will likely require creating a separate Occupational Series specific to IT program management within the current IT family with career advancement paths that are more competitive with the private sector. The path should require expertise and experience for advancement. It will also require the development of a competency model for IT program management consistent with the IT project manager model. [...] In the next six months, OPM will work with OMB to provide agencies with direct hiring authority for IT PMs as necessary.",Will; Should,OPM; OMB,6/8/2011,NA,,x,,,,,,x,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.18,"Office of the Federal Chief Information Officer, OMB",B. Strengthen Program Management,7. Design a formal IT program management career path,"In the next six months, OPM will work with OMB to provide agencies with direct hiring authority for IT PMs as necessary.",Will,OPM; OMB,6/8/2011,NA,,x,,,,,,x,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.19,"Office of the Federal Chief Information Officer, OMB",B. Strengthen Program Management,7. Design a formal IT program management career path,"[...] agencies will identify specific IT program management competency gaps in the next Human Capital Management Report and develop specific plans to close the IT PM gap. To ensure that agencies are executing these plans, senior agency executives will review their progress and provide an interim report to OMB, 12 months after the next Human Capital Management Report is published.",Will,All CFO-Act Agencies,12/10/2011,NA,,x,,,,,,x,,,,,,,,,,,x,,,,x,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.20,"Office of the Federal Chief Information Officer, OMB",B. Strengthen Program Management,7. Design a formal IT program management career path,OPM will work with the Department of the Treasury and the Department of Agriculture (USDA) to pilot the IT program management career track.,Will,OPM; Treasury; USDA,NA,NA,,x,,,,,,x,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.21,"Office of the Federal Chief Information Officer, OMB",B. Strengthen Program Management,8. Scale IT program management career path government-wide,"After piloting IT program management career paths at Treasury and USDA, OPM will work to expand the IT program management career paths more broadly across the Federal Government.",Will,OPM,NA,NA,,x,,,,,,x,,,,,,,,,,,x,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.22,"Office of the Federal Chief Information Officer, OMB",B. Strengthen Program Management,9. Require integrated program teams,"Over the next six months, OMB will issue guidance requiring an IPT [Integrated Program Teams], led by a dedicated, full-time program manager and supported by an IT acquisition specialist, be in place for all major IT programs before OMB will approve program budgets.[...] For major IT investments, agency leadership will approve the composition of the integrated program team and the dedicated program manager.",Will,OMB,6/8/2011,NA,,x,,,,,,x,,,,,,,,,,,x,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.23,"Office of the Federal Chief Information Officer, OMB",B. Strengthen Program Management,9.1 Dedicate resources throughout the program lifecycle and co-locate when possible," For each large IT program, critical members of the IPT [Integrated Project Team] will serve as full-time resources dedicated to the program. This must include a 100% dedicated IT program manager, but other roles will vary by program. Key members of the IPT will also be co-located during the most critical junctures of the program.",Will; Must,All CFO-Act Agencies,NA,NA,,,,,,,,x,,,,,,,,,,,,x,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.24,"Office of the Federal Chief Information Officer, OMB",B. Strengthen Program Management,9.2 Agencies will hold integrated program team members accountable for both individual functional goals and overall program success,"Agency executives will work with their senior procurement executives (SPEs), CIOs, and program leaders to take action and drive towards a more balanced set of individual and program success metrics based on the following two recommendations:
• First, agencies should set up individual performance goals that cover individual and program objectives. Performance goals for acquisition, IT, and business personnel need to include a combination of individual and program objectives.
• Second, agencies must also ensure that the individual and program metrics balance speed, quality, effectiveness, and compliance with Federal Acquisition Regulations. Supervisors must utilize a balanced set of performance metrics to evaluate individual performance. Individuals who provide exemplary contributions to the team will be recognized for their success (e.g., acquisition recognition through the Federal Acquisition Institute Awards & Recognition Program for individuals who effectively meet program needs without sacrificing compliance).",Will; Should; Need to; Must; Will be,All CFO-Act Agencies,NA,NA,,,,,,,,x,,,,,,x,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.25,"Office of the Federal Chief Information Officer, OMB",B. Strengthen Program Management,10. Launch a best practices collaboration platform,"Within six months, the Federal CIO Council will develop a collaboration portal to exchange best practices, case studies, and allow for real-time problem solving.",Will,Federal CIO Council,6/8/2011,NA,,x,,,,,,x,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.26,"Office of the Federal Chief Information Officer, OMB",B. Strengthen Program Management,11. Launch technology fellows program,"Within 12 months, the office of the Federal CIO will create a technology fellows program and the accompanying recruiting infrastructure.",Will,Federal CIO,12/10/2011,NA,,x,,,,,,x,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.27,"Office of the Federal Chief Information Officer, OMB",B. Strengthen Program Management,12. Enable IT program manager mobility across government and industry,"The Federal CIO Council, OMB, and OPM, over the next 12 – 18 months, will be responsible for developing a process that will support and encourage movement of program managers across government and industry.",Will be,Federal CIO Council; OMB; OPM,6/2/2012,NA,,x,,,,,,x,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.28,"Office of the Federal Chief Information Officer, OMB",B. Strengthen Program Management,12. Enable IT program manager mobility across government and industry,"The Federal CIO Council, OMB, and OPM will work to design opportunities for industry rotation to allow Federal program managers to remain up-to-date with the latest skills while managing conflict of interest issues.",Will,Federal CIO Council; OMB; OPM,NA,NA,,x,,,,,,x,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.29,"Office of the Federal Chief Information Officer, OMB",B. Strengthen Program Management,12. Enable IT program manager mobility across government and industry,"To support PM mobility, the Federal CIO Council will build a repository of information on all Federal Government IT PMs, including relevant background, specific expertise, implementation experience, and performance as part of its best practices collaboration platform.",Will,Federal CIO Council,NA,NA,,x,,,,,,x,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.30,"Office of the Federal Chief Information Officer, OMB",C1. Align the Acquisition Process with the Technology Cycle,13. Design and develop a cadre of specialized IT acquisition professionals,"Over the next six months, the Office of Federal Procurement Policy (OFPP) and the Federal CIO, with input from agencies, will design a specialized IT acquisition cadre.",Will,OFPP; Federal CIO,6/8/2011,NA,x,x,,,,,,,,,,,,,,,,,x,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.31,"Office of the Federal Chief Information Officer, OMB",C1. Align the Acquisition Process with the Technology Cycle,13.1 Strengthen IT acquisition skills and capabilities,"Within six months, OFPP, with input from agencies, will develop guidance on requirements for IT acquisition specialists. In addition, OFPP will develop guidance on curriculum standards to cross-train program managers and IT acquisition professionals.",Will,OFPP,6/8/2011,NA,x,x,,,,,,,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.32,"Office of the Federal Chief Information Officer, OMB",C1. Align the Acquisition Process with the Technology Cycle,13.1 Strengthen IT acquisition skills and capabilities,"In particular, the guidance [issued by OFPP] will focus on increasing cross-functional knowledge of the IT marketplace, IT program management, and IT acquisition. OFPP will build upon its current Federal Acquisition Certification in Contracting (FAC-C) to develop a path for IT expertise. OFPP will leverage existing curriculum that may exist within agencies that already host specialized IT acquisition professionals. Skills development will include:
• Classroom training: OFPP will leverage and strengthen, where necessary, existing classes at the Federal Acquisition Institute (FAI) and the Defense Acquisition University (DAU), and engage these and other training providers to develop additional offerings as necessary.
• On-the-job experience: As is true with acquisition in general, the skills needed to successfully handle large IT acquisitions call for a blend of classroom training and on-the-job experience. For example, contracting professionals with hands-on IT experience are better equipped to help IT and program staff translate business and technical requirements into a statement of work that can help ensure a smooth procurement.
• Mentorship: Building a strong culture of mentorship enables IT acquisition professionals to more quickly learn “the art of the possible” to deliver effective IT acquisition solutions. OFPP can encourage this by building on FAI’s ongoing efforts to foster mentorship and networking opportunities, within and between agencies.",Will,OFPP,6/8/2011,NA,,x,,,,,,,,,,,,,,,,,x,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.33,"Office of the Federal Chief Information Officer, OMB",C1. Align the Acquisition Process with the Technology Cycle,13.1 Strengthen IT acquisition skills and capabilities,"As an immediate action to implement these recommendations, OFPP will consider these initiatives as part of its review of the Federal Acquisition Certifications for Program/Project Managers (P/PMs), Contracting Officer Technical Representatives (COTR), and contracting professionals in the next six months.",Will,OFPP,6/8/2011,NA,x,x,,,,,,,,,,,,,,x,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.34,"Office of the Federal Chief Information Officer, OMB",C1. Align the Acquisition Process with the Technology Cycle,14. Identify IT acquisition best practices and adopt government-wide,"OFPP will lead an effort over the next six months to study the experience of those agencies that have already created specialized IT acquisition teams, in order to develop a model to scale more broadly.",Will,OFPP,6/8/2011,NA,x,x,,,,,,,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.35,"Office of the Federal Chief Information Officer, OMB",C1. Align the Acquisition Process with the Technology Cycle,14. Identify IT acquisition best practices and adopt government-wide,"[...] OFPP should work closely with senior agency leadership at the Department of Homeland Security (DHS) and Department of Energy (DOE) as they rollout their IT acquisition cadres in the next year. The next step, over the following 18 months, is to scale the specialized IT acquisition cadre government-wide.",Should; Is,OFPP; DHS; DOE,Within 18 months,NA,x,,,,,,,,,,,,,,,,,,x,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.36,"Office of the Federal Chief Information Officer, OMB",C1. Align the Acquisition Process with the Technology Cycle,15. Issue contracting guidance and templates to support modular development,"Over the next year, OFPP will work with the acquisition and IT communities to develop guidance on contracting for modular development. As part of this effort, OFPP will hold an open meeting with industry leaders to solicit ideas/feedback on contracting for modular development. OFPP will develop templates and samples, and will create communities of practice to facilitate adoption of modular contracting practices.",Will,OFPP,12/10/2011,NA,x,,,,,,,,x,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.37,"Office of the Federal Chief Information Officer, OMB",C1. Align the Acquisition Process with the Technology Cycle,16. Reduce barriers to entry for small innovative technology companies,"As part of this effort, and to enable small IT companies to work with the Federal Government, SBA, GSA, and OFPP will take concrete steps over the next 18 months to develop clearer and more comprehensive small business contracting policies.",Will,SBA; GSA; OFPP,6/2/2012,NA,x,,,,,,,,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.38,"Office of the Federal Chief Information Officer, OMB",C2. Align the Budget Process with the Technology Cycle,17.1 Analyze working capital funds and transfer authorities to identify current IT budget flexibilities,"Over the next six months, OMB will work with Congress to analyze existing working capital funds (WCFs) and other vehicles for pooling funds and extending availability of funding.",Will,OMB; Congress,6/8/2011,NA,,,,,,,,,,,,,,,,,,x,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.39,"Office of the Federal Chief Information Officer, OMB",C2. Align the Budget Process with the Technology Cycle,17.2  Identify programs for which to pilot flexible budget models,"Within six months, Agency CIOs and CFOs will identify programs at several agencies for which added budget flexibility could save money and improve outcomes. OMB and agencies will work with Congress to develop proposed budget models to complement the modular development approach. In addition, OMB and agencies will evaluate mechanisms for increased transparency for these programs.",Will,All CFO-Act Agencies; OMB; Congress,6/8/2011,NA,,,,,,,,,,,,,x,,,,,x,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.40,"Office of the Federal Chief Information Officer, OMB",C2. Align the Budget Process with the Technology Cycle,18. Develop supporting materials and guidance for flexible IT budget models,"In order to support agencies and appropriations staff in leveraging budget flexibility, the Federal CFO Council, in collaboration with the Federal CIO Council, will develop a set of best practices and materials that explain the need for these types of funding, and prescribe a path to achieving more flexible models. 
As a first step, the Federal CIO Council will create a segmentation of common IT program types and the associated funding requirements. The Federal CFO Council will then work with the Federal CIO Council to create detailed “playbooks” mapping each IT program type to specific budget vehicles based on examples of past investments and IT needs (e.g., multi-year funding for programs with several discrete deliverables).",Will,Federal CFO Councils; Federal CIO Council,NA,NA,,,,,,,,,,,,,,,,,,x,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.41,"Office of the Federal Chief Information Officer, OMB",C2. Align the Budget Process with the Technology Cycle,18. Develop supporting materials and guidance for flexible IT budget models,"The Federal CFO and CIO Councils will create a set of guidelines for increasing transparency in the utilization of IT funds. Agencies will follow these guidelines and institute additional review processes for multi-year funds and portfolio funding to prevent mismanagement of increased funding flexibility (e.g., masking program delays or overruns).",Will,Federal CFO Councils; Federal CIO Council,NA,NA,,,,,,,,,,,,,,,,,,x,,,,,,
